accX,accY,accZ,Behavior
0.266,0.922,0.156,t
0.264,0.922,0.156,t
0.25,0.922,0.159,t
0.25,0.922,0.172,t
0.25,0.922,0.172,t
0.545,1.074,0.536,t
0.857,1.088,1.119,t
0.966,0.769,0.688,t
1.321,0.225,0.057,t
0.866,0.558,-0.187,t
0.572,0.753,-0.638,t
1.16,0.978,-0.488,t
0.891,1.006,-0.378,t
0.333,0.594,-0.238,t
0.136,0.469,-0.086,t
0.256,1.057,0.109,t
0.165,1.005,0.081,t
0.156,0.953,0.094,t
0.188,0.985,0.094,t
0.203,0.985,0.094,t
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.964,0.219,s
-0.047,0.958,0.219,s
-0.035,0.953,0.219,s
-0.031,0.953,0.219,s
-0.044,0.953,0.219,s
0.1138,0.1063,0.9891,l
0.0938,0.1363,0.9791,l
0.0982,0.0894,0.9959,l
0.1019,0.0631,0.9922,l
0.0844,0.0125,1.016,l
0.1044,0.0075,1.0134,l
0.0763,0.0638,1.0097,l
0.0588,0.1826,1.071,l
0.0156,0.125,0.9847,l
0,0.0313,0.9847,l
-0.03,-0.1038,1.0447,l
-0.0313,-0.0375,0.9753,l
-0.0038,0.0788,0.9691,l
-0.0394,-0.2607,0.9953,l
-0.0344,-0.2907,1.0003,l
-0.0431,-0.3407,0.8934,l
-0.0131,-0.2695,0.9384,l
0,-0.3514,0.9159,l
0.01,-0.1663,0.9509,l
0.0531,-0.2188,1.0222,l
-0.0782,-0.0156,0.9065,t
-0.1563,0.1876,1.0628,t
-0.0938,0.0782,0.9534,t
-0.1407,0.1407,0.9378,t
-0.1094,0.1094,0.9847,t
-0.3632,-0.0113,0.9097,t
-0.0013,-1.1948,1.0503,t
-0.1475,0.9309,0.4852,t
0.1038,1.0772,1.0497,t
-0.4439,0.1219,0.8471,t
-0.2732,0.0925,0.4451,t
-0.0369,-0.9578,2.2345,t
-0.0269,0.0438,1.2692,t
0.1432,-0.1213,0.9391,t
0.1563,-0.2751,1.0066,t
0.0063,-0.08,0.919,t
-0.1438,0.0932,0.9372,t
0.0363,0.0331,1.0047,t
0.1544,-0.2257,0.9703,t
-0.0719,-0.2532,0.9065,t
0.0469,-0.2345,0.9378,s
0.0625,-0.2345,0.9534,s
0.0625,-0.2345,0.9222,s
0.0782,-0.2345,0.9534,s
0.0625,-0.2501,0.9378,s
0.0469,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2345,0.9534,s
0.0625,-0.2345,0.9378,s
0.0469,-0.2345,0.9222,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2345,0.9222,s
0.0625,-0.2657,0.9222,s
0.0475,-0.2207,0.9522,s
0.0469,-0.2763,0.9247,s
0.0606,-0.2401,0.9497,s
0.0625,-0.2345,0.9403,s
0.0375,-0.2345,0.9378,s
0.055,-0.2582,0.9497,s
-0.0313,0,0.9847,l
-0.0013,-0.03,0.9847,l
-0.0288,-0.0025,0.9991,l
-0.0038,0,1.0003,l
0.0131,0.0394,0.9609,l
0.0406,0.0344,1.016,l
0.0231,-0.0044,0.9722,l
0.0269,-0.0381,0.9759,l
0.0525,-0.015,1.0378,l
0.0525,0,0.9828,l
0.0656,0.0281,0.9753,l
0.0606,-0.1457,0.9391,l
0.0713,-0.1669,0.9234,l
0.0863,-0.0169,0.9759,l
0.0919,0.0156,0.9728,l
0.1157,-0.0094,0.9566,l
0.125,-0.0356,0.9791,l
0.13,-0.0206,0.9591,l
0.1363,-0.0225,0.9378,l
0.1363,-0.0038,0.9453,l
-0.0782,-0.287,0.9222,t
-0.0782,-0.2813,0.9409,t
-0.0782,-0.2901,0.9359,t
-0.0782,-0.297,0.9222,t
-0.0782,-0.297,0.9297,t
-0.3432,-0.9172,1.301,t
-0.6133,-1.3423,1.7062,t
-0.2182,-1.3173,0.6477,t
1.3836,0.4495,-0.834,t
0.1813,0.4376,0.0625,t
-1.1491,-0.7853,0.8253,t
-1.9069,-0.879,1.1347,t
-0.4802,-0.1788,0.5395,t
0.1094,0.2813,0.8128,t
0.2657,0.7971,0.9065,t
-0.0313,0.5783,0.8284,t
-0.0469,0.5471,0.8128,t
-0.0156,0.3908,0.9378,t
-0.0156,0.4376,0.8909,t
-0.0156,0.4376,0.9222,t
0.125,0.3751,0.8909,s
0.125,0.3595,0.9065,s
0.125,0.3595,0.8909,s
0.125,0.3595,0.8909,s
0.125,0.3751,0.8909,s
0.125,0.3595,0.8909,s
0.125,0.3595,0.8909,s
0.1094,0.3751,0.9065,s
0.1244,0.3751,0.8915,s
0.1107,0.3607,0.8765,s
0.1232,0.3595,0.9028,s
0.1382,0.3726,0.8934,s
0.1282,0.3626,0.9034,s
0.1369,0.3595,0.8947,s
0.1294,0.3595,0.9022,s
0.125,0.3807,0.9065,s
0.115,0.3707,0.9065,s
0.1188,0.3782,0.9065,s
0.125,0.3732,0.8978,s
0.125,0.3595,0.8909,s
0.03,-0.5289,0.8153,l
0.045,-0.5314,0.8678,l
0.0469,-0.5445,0.8228,l
0.0469,-0.472,0.8628,l
0.0588,-0.5245,0.8396,l
0.0513,-0.5696,0.8284,l
0.0256,-0.5358,0.8178,l
0.0556,-0.5258,0.8028,l
0.0875,-0.5408,0.844,l
0.0938,-0.5383,0.8578,l
0.0694,-0.5152,0.8359,l
0.0544,-0.5377,0.8284,l
0.0832,-0.5989,0.849,l
0.0844,-0.5877,0.8753,l
0.0413,-0.5539,0.8584,l
0.0313,-0.5889,0.8134,l
0.0313,-0.5608,0.8078,l
0.0275,-0.5158,0.864,l
0.0219,-0.522,0.8253,l
0.0469,-0.5395,0.8153,l
-0.2188,-0.1719,0.9378,t
-0.2032,-0.1563,0.9378,t
-0.2032,-0.1719,0.9222,t
-0.2188,-0.1876,0.9378,t
-0.1888,-0.1726,0.9228,t
-0.1876,-0.1863,0.9365,t
-0.5452,0.1425,1.4192,t
0.0888,-2.6352,0.1325,t
3.5699,0.4783,2.6383,t
-0.3201,1.4267,0.6327,t
-0.1701,-0.1826,0.4789,t
0.1288,0.5477,0.3038,t
-0.1113,0.8678,2.1344,t
-0.1563,0.4908,1.8568,t
-0.0425,0.1494,1.0203,t
0.237,-0.3495,1.0578,t
-0.0588,-0.0932,1.1054,t
-0.1,-0.0531,0.9566,t
-0.0869,-0.1638,0.9528,t
-0.0869,0.0263,1.0178,t
0.1094,-0.2345,0.9222,s
0.1094,-0.2501,0.9378,s
0.125,-0.2345,0.9222,s
