accX,accY,accZ,behavior
0.233,0.923,0.232,t
0.224,0.936,0.205,t
0.263,0.922,0.221,t
0.25,0.919,0.231,t
0.25,0.907,0.219,t
0.254,0.911,0.214,t
0.266,0.922,0.198,t
0.266,0.922,0.193,t
0.284,0.916,0.197,t
0.299,0.913,0.188,t
0.281,0.922,0.195,t
0.281,0.914,0.203,t
0.281,0.915,0.194,t
0.281,0.932,0.188,t
0.291,0.938,0.188,t
0.297,0.927,0.177,t
0.286,0.911,0.172,t
0.293,0.895,0.172,t
0.284,0.903,0.172,t
0.294,0.92,0.172,t
0.283,0.908,0.172,t
0.296,0.907,0.172,t
0.297,0.907,0.172,t
0.297,0.907,0.156,t
0.297,0.907,0.156,t
0.297,0.922,0.172,t
0.297,0.922,0.172,t
0.297,0.907,0.156,t
0.297,0.907,0.172,t
0.297,0.907,0.172,t
0.297,0.922,0.156,t
0.297,0.922,0.172,t
0.297,0.907,0.172,t
0.297,0.907,0.156,t
0.281,0.922,0.156,t
0.281,0.922,0.156,t
0.281,0.922,0.156,t
0.281,0.922,0.156,t
0.281,0.922,0.156,t
0.281,0.922,0.156,t
0.281,0.922,0.156,t
0.266,0.922,0.172,t
0.266,0.922,0.172,t
0.266,0.922,0.172,t
0.266,0.922,0.172,t
0.266,0.922,0.156,t
0.266,0.922,0.172,t
0.266,0.922,0.172,t
0.266,0.922,0.172,t
0.266,0.922,0.171,t
0.266,0.922,0.156,t
0.264,0.922,0.156,t
0.25,0.922,0.159,t
0.25,0.922,0.172,t
0.25,0.922,0.172,t
0.25,0.927,0.172,t
0.285,0.978,0.222,t
0.545,1.074,0.536,t
0.857,1.088,1.119,t
0.966,0.769,0.688,t
1.321,0.225,0.057,t
0.866,0.558,-0.187,t
0.572,0.753,-0.638,t
1.16,0.978,-0.488,t
0.891,1.006,-0.378,t
0.333,0.594,-0.238,t
0.136,0.469,-0.086,t
0.181,0.742,0.036,t
0.141,0.991,0.138,t
0.178,1.018,0.117,t
0.256,1.057,0.109,t
0.165,1.005,0.081,t
0.156,0.953,0.094,t
0.188,0.985,0.094,t
0.203,0.985,0.094,t
0.156,0.969,0.094,t
0.156,0.985,0.125,t
0.156,0.985,0.125,t
0.109,1,0.141,t
0.094,1,0.141,t
0.094,0.969,0.141,t
0.109,0.969,0.156,t
0.109,0.953,0.156,t
0.078,0.953,0.172,t
0.078,0.953,0.188,t
0.063,0.953,0.188,t
0.078,0.953,0.188,t
0.063,0.969,0.203,t
0.047,0.938,0.219,t
0.047,0.953,0.219,t
0.047,0.953,0.219,t
0.047,0.953,0.219,t
0.031,0.953,0.219,t
0.031,0.938,0.219,t
0.016,0.953,0.219,t
-0.016,0.938,0.156,t
0,0.953,0.203,t
0.016,0.969,0.219,t
0,0.953,0.219,t
-0.013,0.983,0.235,t
0.044,0.952,0.248,t
0.014,0.94,0.219,t
-0.003,0.953,0.216,t
-0.019,0.953,0.203,t
-0.031,0.953,0.207,t
-0.031,0.953,0.214,t
-0.031,0.953,0.203,t
-0.031,0.953,0.203,t
-0.031,0.96,0.203,t
-0.031,0.969,0.21,t
-0.039,0.969,0.211,t
-0.047,0.969,0.203,t
-0.047,0.969,0.203,t
-0.047,0.969,0.203,t
-0.047,0.969,0.203,t
-0.047,0.969,0.203,t
-0.047,0.969,0.214,t
-0.047,0.969,0.219,t
-0.047,0.969,0.219,t
-0.047,0.956,0.219,t
-0.047,0.953,0.205,t
-0.047,0.968,0.203,t
-0.047,0.953,0.203,t
-0.047,0.953,0.203,t
-0.047,0.953,0.219,t
-0.063,0.953,0.219,s
-0.063,0.953,0.219,s
-0.063,0.953,0.219,s
-0.063,0.953,0.219,s
-0.063,0.953,0.219,s
-0.047,0.953,0.219,s
-0.063,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
-0.047,0.953,0.219,s
